symbol,CXSMILES,R1,R2,R3,source,position_class,has_sidechain,prop_status
KO9,*N[C@@H](CNc1nc(C)[nH+]c(C)c1CC)C(*)=O |$_R1;;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
ZG7,*N[C@@H](CCNc1cc(=O)n(C)c(=O)n1C)C(*)=O |$_R1;;;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
6EA,*N[C@H](C(*)=O)c1cc(=O)c(OC)cn1-c1ccccc1 |$_R1;;;;_R2;;;;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
5YZ,*N[C@@H](Cc1cn2c(C)c(Cl)ccc2n1)C(*)=O |$_R1;;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
FBT,*N[C@H](C(*)=O)c1cnc2nccnc2c1C |$_R1;;;;_R2;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
3P7,*N[C@H](C(*)=O)c1cc2[nH]cnc2nc1C |$_R1;;;;_R2;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
30G,*N[C@@H](Cc1cc(C)c2nccn2c1)C(*)=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
7YD,*N[C@@H](Cc1cn2c(Br)cnc2cc1C)C(*)=O |$_R1;;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
5SJ,*N[C@H](C(*)=O)c1ccc2ncc(Br)n2c1C |$_R1;;;;_R2;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
LWV,*N[C@@H](Cc1ccc2nc(C)c(Br)n2c1C)C(*)=O |$_R1;;;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
OLC,*N[C@H](C(*)=O)c1cn2c(Br)c(C)nc2cc1C |$_R1;;;;_R2;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
