symbol,CXSMILES,R1,R2,R3,source,position_class,has_sidechain,prop_status
Me_dK,CN([*])[C@H](CCCCN)C([*])=O |$;;_R1;;;;;;;;_R2;$|,H,OH,H,CycPeptMPDB,flexible,True,full
Lys(Ac),CC(=O)NCCCC[C@H](N[*])C([*])=O |$;;;;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Lys(Cbz),[*]N[C@@H](CCCCNC(=O)OCc1ccccc1)C([*])=O |$_R1;;;;;;;;;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Lys(iPr),CC(C)NCCCC[C@H](N[*])C([*])=O |$;;;;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Lys(Me),CNCCCC[C@H](N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Me_Lys(Me),CNCCCC[C@H](N(C)[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Lys(Me2),CN(C)CCCC[C@H](N[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Lys(Tfa),[*]N[C@@H](CCCCNC(=O)C(F)(F)F)C([*])=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
L,CC(C)C[C@H](N[*])C([*])=O |$;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
dL,CC(C)C[C@@H](N[*])C([*])=O |$;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
meL,CC(C)C[C@H](N(C)[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Me_dL,CC(C)C[C@@H](N(C)[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
aMeLeu,CC(C)C[C@](C)(N[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
dLeu(3R-OH),CC(C)[C@@H](O[*])[C@@H](N[*])C([*])=O |$;;;;;_R3;;;_R1;;_R2;$|,H,OH,H,CycPeptMPDB,flexible,True,full
(N->O)Leu,CC(C)C[C@H](O[*])C([*])=O |$;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
d(N->O)Leu,CC(C)C[C@@H](O[*])C([*])=O |$;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
M,CSCC[C@H](N[*])C([*])=O |$;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
meM,CSCC[C@@H](C([*])=O)N(C)[*] |$;;;;;;_R2;;;;_R1$|,H,OH,-,CycPeptMPDB,flexible,False,full
Met(O2),CS(=O)(=O)CC[C@H](N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
N,NC(=O)C[C@H](N[*])C([*])=O |$;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
dN,NC(=O)C[C@@H](N[*])C([*])=O |$;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
meN,CN([*])[C@@H](CC(N)=O)C([*])=O |$;;_R1;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
dAsn(Me2),CN(C)C(=O)C[C@@H](N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Nal,[*]N[C@@H](Cc1ccc2ccccc2c1)C([*])=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
1-Nal,[*]N[C@@H](Cc1cccc2ccccc12)C([*])=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
d1-Nal,[*]N[C@H](Cc1cccc2ccccc12)C([*])=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Nle,CCCC[C@H](N[*])C([*])=O |$;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Me_Nle,CCCC[C@H](N(C)[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Me_dNle,CCCC[C@H](C([*])=O)N(C)[*] |$;;;;;;_R2;;;;_R1$|,H,OH,-,CycPeptMPDB,flexible,False,full
Nle(CHF2),[*]N[C@@H](CCCCC(F)F)C([*])=O |$_R1;;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Nle(OH),[*]N[C@@H](CCCCO)C([*])=O |$_R1;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Nva,CCC[C@H](N[*])C([*])=O |$;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
dNva,CCC[C@@H](N[*])C([*])=O |$;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
